Scheme,ColorName,NumOfColors,ColorLetter
Accent-3,Accent,3,A
Accent-3,Accent,3,B
Accent-3,Accent,3,C
Accent-4,Accent,4,A
Accent-4,Accent,4,B
Accent-4,Accent,4,C
Accent-4,Accent,4,D
Accent-5,Accent,5,A
Accent-5,Accent,5,B
Accent-5,Accent,5,C
Accent-5,Accent,5,D
Accent-5,Accent,5,E
Accent-6,Accent,6,A
Accent-6,Accent,6,B
Accent-6,Accent,6,C
Accent-6,Accent,6,D
Accent-6,Accent,6,E
Accent-6,Accent,6,F
Accent-7,Accent,7,A
Accent-7,Accent,7,B
Accent-7,Accent,7,C
Accent-7,Accent,7,D
Accent-7,Accent,7,E
Accent-7,Accent,7,F
Accent-7,Accent,7,G
Accent-8,Accent,8,A
Accent-8,Accent,8,B
Accent-8,Accent,8,C
Accent-8,Accent,8,D
Accent-8,Accent,8,E
Accent-8,Accent,8,F
Accent-8,Accent,8,G
Accent-8,Accent,8,H
Blues-3,Blues,3,C
Blues-3,Blues,3,F
Blues-3,Blues,3,I
Blues-4,Blues,4,B
Blues-4,Blues,4,E
Blues-4,Blues,4,G
Blues-4,Blues,4,J
Blues-5,Blues,5,B
Blues-5,Blues,5,E
Blues-5,Blues,5,G
Blues-5,Blues,5,I
Blues-5,Blues,5,K
Blues-6,Blues,6,B
Blues-6,Blues,6,D
Blues-6,Blues,6,F
Blues-6,Blues,6,G
Blues-6,Blues,6,I
Blues-6,Blues,6,K
Blues-7,Blues,7,B
Blues-7,Blues,7,D
Blues-7,Blues,7,F
Blues-7,Blues,7,G
Blues-7,Blues,7,H
Blues-7,Blues,7,J
Blues-7,Blues,7,L
Blues-8,Blues,8,A
Blues-8,Blues,8,C
Blues-8,Blues,8,D
Blues-8,Blues,8,F
Blues-8,Blues,8,G
Blues-8,Blues,8,H
Blues-8,Blues,8,J
Blues-8,Blues,8,L
Blues-9,Blues,9,A
Blues-9,Blues,9,C
Blues-9,Blues,9,D
Blues-9,Blues,9,F
Blues-9,Blues,9,G
Blues-9,Blues,9,H
Blues-9,Blues,9,J
Blues-9,Blues,9,K
Blues-9,Blues,9,M
BrBG-3,BrBG,3,E
BrBG-3,BrBG,3,H
BrBG-3,BrBG,3,K
BrBG-4,BrBG,4,C
BrBG-4,BrBG,4,F
BrBG-4,BrBG,4,J
BrBG-4,BrBG,4,M
BrBG-5,BrBG,5,C
BrBG-5,BrBG,5,F
BrBG-5,BrBG,5,H
BrBG-5,BrBG,5,J
BrBG-5,BrBG,5,M
BrBG-6,BrBG,6,B
BrBG-6,BrBG,6,E
BrBG-6,BrBG,6,G
BrBG-6,BrBG,6,I
BrBG-6,BrBG,6,K
BrBG-6,BrBG,6,N
BrBG-7,BrBG,7,B
BrBG-7,BrBG,7,E
BrBG-7,BrBG,7,G
BrBG-7,BrBG,7,H
BrBG-7,BrBG,7,I
BrBG-7,BrBG,7,K
BrBG-7,BrBG,7,N
BrBG-8,BrBG,8,B
BrBG-8,BrBG,8,D
BrBG-8,BrBG,8,F
BrBG-8,BrBG,8,G
BrBG-8,BrBG,8,I
BrBG-8,BrBG,8,J
BrBG-8,BrBG,8,L
BrBG-8,BrBG,8,N
BrBG-9,BrBG,9,B
BrBG-9,BrBG,9,D
